"","ID","TDU","REP","PRODUCT","KWH500","KWH1000","KWH2000","RATE_TYPE","RENEWABLE","TERM_LENGTH","PREPAID","TOU","PROMOTION","FACTS_URL"
"14","1821","电子电器","重货","Texas Indepedence AutoPay E-Plan",16.9,14,13.5,"否",16,1,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen.pdf"
"15","1885","电子电器","重货","3 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",17.1,14.2,13.7,"是",16,3,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen.pdf"
"16","1890","电子电器","重货","6 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",14.7,11.8,11.3,"是",16,6,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen.pdf"
"17","1953","电子电器","时效","Tremendous 24",14,12.6,11.9,"是",14,24,"老客户","否","散客","http://www.bounceenergy.com/efls/tremendous24-071018.pdf"
"18","1955","电子电器","时效","Terrific 12",14.3,12.9,12.2,"是",14,12,"老客户","否","散客","http://www.bounceenergy.com/efls/terrific12-071018.pdf"
"19","1989","电子电器","重货","Spirit Of Texas AutoPay E-Plan",13.6,10.7,10.2,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen.pdf"
"20","2001","电子电器","重货","Healthy Heart Of Texas AutoPay E-Plan",13.9,11,10.5,"是",100,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green.pdf"
"21","2024","电子电器","其他","Autopay E-Plan ",13.7,10.8,10.3,"是",16,24,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen.pdf"
"22","2029","电子电器","其他","Green Earth Autopay E-plan ",14,11.1,10.6,"是",100,24,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf"
"23","2496","电子电器","重货","Plant-A-Tree AutoPay E-Plan",13.9,11,10.5,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf"
"24","2613","电子电器","同城配","TXU Energy MarketEdge ",15.8,14.4,13.7,"否",6,0,"老客户","否","散客","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AH_SPA.pdf"
"25","2667","电子电器","同城配","Eagle 12",12.1,11.6,11.3,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf"
"26","3026","电子电器","冷运","Fixed rate for 12 billing cycle(s).",13.2,11.8,11.8,"是",15,12,"老客户","否","散客","https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC12FIXED09PP00RPROMO1"
"27","3069","电子电器","同城配","Green Eagle 36",12.1,11.6,11.3,"是",100,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-36mo.pdf"
"28","3079","电子电器","同城配","Green Eagle 12",12.4,11.9,11.6,"是",100,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo.pdf"
"29","3125","电子电器","同城配","Eagle 12",12.1,11.6,11.3,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo-SPAN.pdf"
"30","3137","电子电器","同城配","Green Eagle 36",12.1,11.6,11.3,"是",100,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-36mo-SPAN.pdf"
"31","3143","电子电器","同城配","Green Eagle 12",12.4,11.9,11.6,"是",100,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo-SPAN.pdf"
"32","3197","电子电器","同城配","Eagle 36",11.7,11.2,10.9,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo.pdf"
"33","3202","电子电器","同城配","Eagle 36",11.7,11.2,10.9,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo-SPAN.pdf"
"34","3431","电子电器","冷运","Fixed rate for 12 billing cycle(s).",13.4,12,12,"是",100,12,"老客户","否","散客","https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC12FIXED09PP00RGGTXPROMO1"
"35","3560","电子电器","重货","AutoPay E-Plan de Sembrar-Un-Arbol",13.9,11,10.5,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree-spanish.pdf"
"36","3600","电子电器","重货","AutoPay E-Plan Healthy Heart of Texas",13.9,11,10.5,"是",100,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green-spanish.pdf"
"37","3612","电子电器","重货","AutoPay E-Plan Spirit of Texas",13.6,10.7,10.2,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-spanish.pdf"
"38","3625","电子电器","重货","6 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",14.7,11.8,11.3,"是",16,6,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-spanish.pdf"
"39","3630","电子电器","重货","3 Month Spirit Of Texas Fixed Rate AutoPay E-Plan",17.1,14.2,13.7,"是",16,3,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen-spanish.pdf"
"40","3641","电子电器","重货","AutoPay E-Plan Spirit of Texas",16.9,14,13.5,"否",16,1,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-spanish.pdf"
"41","3644","电子电器","重货","AutoPay E-Plan Healthy Heart of Texas",14.1,11.2,10.7,"是",100,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-green-spanish.pdf"
"42","3649","电子电器","重货","Spirit of Texas AutoPay E-Plan",13.7,10.8,10.3,"是",16,12,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-spanish.pdf"
"43","4115","电子电器","其他","Autopay E-Plan ",13.7,10.8,10.3,"是",16,36,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen.pdf"
"44","4135","电子电器","其他","Operation USO AutoPay E-plan",14,11.1,10.6,"是",16,12,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen-uso.pdf"
"45","4173","电子电器","重货","AutoPay E-Plan Spirit of Texas ",13.6,10.7,10.2,"是",16,36,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen-spanish.pdf"
"46","4318","电子电器","其他","Operation USO AutoPay E-Plan ",13.9,11,10.5,"是",16,24,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf"
"47","4562","电子电器","国际","Texas Refresh 12",12.3,10.9,10.2,"是",100,12,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY4F12A0DG003_20180709_eng_d9f32f6f-b9bc-42a7-a31c-08b1edc3a462.pdf"
"48","4566","电子电器","国际","Entrust 12",12.2,10.8,10.2,"是",17,12,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4F12D0DG003_20180809_eng_a5acac98-26b0-4d9a-b471-a29a73616c17.pdf"
"49","4830","电子电器","特惠","Wise Buy 12",14.8,11.9,11.4,"是",11,12,"老客户","否","散客","https://www.pennywisepower.com/files/09017518816576f0.pdf"
"50","5093","电子电器","时效","Fast Fixed 4",16.3,14.9,14.2,"是",14,4,"老客户","否","散客","http://www.bounceenergy.com/efls/fastfixed4-071018.pdf"
"51","5386","电子电器","重货","6 Months Texas Summer Savings Product",12.9,10.2,9.9,"是",11,6,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL6MPTCSUMRES4M9ALL080918.pdf"
"52","5442","电子电器","同城配","TXU Energy FlexPower",15.4,14.4,13.9,"否",6,0,"新客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXPREPA0000AG&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"53","5444","电子电器","同城配","TXU Energy FlexPower",15.4,14.4,13.9,"否",6,0,"新客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXPREPA0000AG&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"54","6163","电子电器","重货","3 Months Texas Summer Savings Product",12.8,10.1,9.8,"是",11,3,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALL080918.pdf"
"55","6164","电子电器","重货","12 Months Texas Summer Savings Product",13.8,11.1,10.7,"是",11,12,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL12MPTCSUMRES4M9ALL080918.pdf"
"56","5504","电子电器","重货","9 Months Texas Summer Savings Product",12.8,10.1,9.7,"是",11,9,"老客户","否","散客","https://www.summerenergy.com/PDF/EFL9MPTCSUMRES4M9ALL080918.pdf"
"57","7009","电子电器","电商","Price Protection Plan 24",13.7,12.3,11.6,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FCARXXX0512_ENG_20180807.PDF"
"58","7010","电子电器","电商","Price Protection Plan 12",13.9,12.5,11.8,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FCARXXX0499_ENG_20180807.PDF"
"59","7572","电子电器","时效","Champ Saver-9",11.3,10.4,9.9,"是",13,9,"老客户","否","散客","https://www.championenergyservices.com/register/efl.aspx?rateID=169&term=9169"
"60","7785","电子电器","电商","DollarSave Prepaid",10.4,10.4,10.4,"否",0,0,"新客户","否","散客","http://hinoelectric.com/pdf/1403901857.pdf"
"61","8774","电子电器","重货","New Friends 24 Month Plan",15.7,12.6,12.1,"是",19,24,"老客户","否","散客","https://mystream.com/~/media/Files/PDFs_PowerPoints/Enroll/texas/TX_RFRBFF24R/AEP_CENTRAL_TEXAS.pdf?la=en"
"62","8860","电子电器","同城配","SMART Energy 12",12.9,12.4,12.1,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-12mo.pdf"
"63","8862","电子电器","同城配","SMART Energy 36",12.1,11.6,11.3,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-36mo.pdf"
"64","8781","电子电器","重货","New Friends 24 Month Plan",15.7,12.6,12.1,"是",19,24,"老客户","否","散客","https://mystream.com/~/media/Files/PDFs_PowerPoints/Enroll/texas/TX_RFRBFF24R/AEP_CENTRAL_TEXAS.pdf?la=es"
"65","8920","电子电器","同城配","SMART Eagle 36",12.1,11.6,11.3,"是",6,36,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-36mo-span.pdf"
"66","9535","电子电器","重货","Price Protect 6",14.1,11.4,10.9,"是",12,6,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/20704/EFL/ptc/CPL/Electric/77437"
"67","9536","电子电器","重货","Price Protect 12",14.5,11.8,11.3,"是",12,12,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/20703/EFL/ptc/CPL/Electric/77437"
"68","9537","电子电器","重货","Green Price Protect 12",14.5,11.8,11.4,"是",100,12,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/20784/EFL/ptc-all/CPL/Electric/77437"
"69","8914","电子电器","同城配","SMART Eagle 12",12.9,12.4,12.1,"是",6,12,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-12mo-span.pdf"
"70","9638","电子电器","国际","Entrust 24",14.4,13,12.3,"是",17,24,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4F24A0AQ003_20180709_eng_78e989db-f988-4f86-9d75-93e8d7e2a129.pdf"
"71","9643","电子电器","国际","Texas Refresh 24",14.9,13.5,12.8,"是",100,24,"老客户","否","散客","https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY4F24A0AQ003_20180709_eng_4a654a98-0e13-4961-8c4b-4f51484d6f87.pdf"
"72","9757","电子电器","时效","Amazing 18",14.3,12.9,12.2,"是",14,18,"老客户","否","散客","http://www.bounceenergy.com/efls/amazing18-071018.pdf"
"73","10211","电子电器","国际","Green Texas 12",14.1,12.7,12,"是",100,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXX1968_ENG_20180807.PDF"
"74","10344","电子电器","特惠","SmarTricity MVP 20",10.6,11.7,12.2,"否",0,1,"新客户","否","散客","https://paylesspower.com/files/6_3_eng.pdf"
"75","10412","电子电器","国际","Saver - NO GIMMICKS - 12",11.1,10.9,10.7,"是",19,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=28371"
"76","10413","电子电器","国际","Saver - NO GIMMICKS - 18",11.1,10.9,10.7,"是",19,18,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=28372"
"77","10414","电子电器","国际","Saver - NO GIMMICKS - 24",11.1,10.9,10.7,"是",19,24,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=28373"
"78","10767","电子电器","电商","Smart Lock 12",16.2,14.3,12.8,"是",11,12,"老客户","否","散客","https://signup.cirroenergy.com/files/090175188169ea67.pdf"
"79","10770","电子电器","电商","Smart Lock 24",15.8,13.9,12.4,"是",11,24,"老客户","否","散客","https://signup.cirroenergy.com/files/090175188169ea6b.pdf"
"80","10786","电子电器","电商","Price Protection Plan 36",12.4,11,10.3,"是",14,36,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FCARXXX0513_ENG_20180807.PDF"
"81","10830","电子电器","国际","Prime Plus - 12",15.4,6,9.8,"是",19,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=28012"
"82","10965","电子电器","国际","Green Saver - 12",11.1,10.2,9.7,"是",100,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27967"
"83","10966","电子电器","国际","Premier - 12",8.2,11.5,13.2,"是",19,12,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27721"
"84","11022","电子电器","国际","Green Saver - 24",11.3,10.4,9.9,"是",100,24,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27668"
"85","11032","电子电器","国际","Veteran and Active Military 12",13.3,11.9,11.2,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXX1945_ENG_20180807.PDF"
"86","10514","电子电器","特惠","#Apartment12",8.3,11.3,12.8,"是",19,12,"老客户","否","散客","https://www.power-express.com/ViewPdf.aspx?pdf=efl_TOS_YRAC/aepc_Apartment12_PTC_08152018.pdf"
"87","11038","电子电器","国际","Veteran and Active Military 24",13.2,11.8,11.1,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXX1946_ENG_20180807.PDF"
"88","11050","电子电器","重货","Sure Saver 6",17.1,10.2,12.7,"是",0,6,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/21294/EFL/ptc-all/CPL/Electric/77437"
"89","11051","电子电器","重货","Sure Saver 12",17.1,10.2,12.7,"是",12,12,"老客户","否","散客","https://www.sparkenergy.com/api/enrollment-product-document/21291/EFL/NoPromo/CPL/Electric/77437"
"90","11099","电子电器","国际","Prime Plus - 24",15.4,6,9.8,"是",19,24,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=28013"
"91","11115","电子电器","同城配","TXU Energy Saver's Deal 12",18.4,16.5,11.9,"是",6,12,"老客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCX30SAVDL12AK&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"92","11120","电子电器","同城配","TXU Energy Saver's Deal 12",18.4,16.5,11.9,"是",6,12,"老客户","否","散客","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCX30SAVDL12AK&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"93","11130","电子电器","重货","Plant-A-Tree AutoPay E-Plan",13.8,10.9,10.4,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-tree.pdf"
"94","11136","电子电器","重货","AutoPay E-Plan de Sembrar-Un-Arbol",13.8,10.9,10.4,"是",16,24,"老客户","否","散客","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-tree-spanish.pdf"
"95","11172","电子电器","国际","Green Saver - 18",11.2,10.3,9.8,"是",100,18,"老客户","否","散客","https://signup.discountpowertx.com/EFL.aspx?i=27968"
"96","11223","电子电器","国际","Live Brighter 12",13.9,12.5,11.8,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXX1938_ENG_20180807.PDF"
"97","11248","电子电器","国际","You Got This 12",13.7,12.3,11.6,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFARXXX0526_ENG_20180807.PDF"
"98","11254","电子电器","国际","You Got This 24",13.7,12.3,11.6,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFARXXX0527_ENG_20180807.PDF"
"99","11359","电子电器","同城配","SMART Energy Eagle 24",12.5,12,11.7,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-24mo.pdf"
"100","11364","电子电器","同城配","SMART Eagle 24",12.5,12,11.7,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-WBH-24mo-span.pdf"
"101","11372","电子电器","同城配","Eagle 24",11.9,11.4,11.1,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-24mo.pdf"
"102","11378","电子电器","同城配","Eagle 24",11.9,11.4,11.1,"是",6,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-24mo-span.pdf"
"103","11383","电子电器","同城配","Green Eagle 24",12.2,11.7,11.4,"是",100,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-24mo.pdf"
"104","11384","电子电器","同城配","Green Eagle 24",12.2,11.7,11.4,"是",100,24,"老客户","否","散客","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-24mo-span.pdf"
"105","11430","电子电器","特惠","PTC True Blue Infusion 6",13,7,11.5,"是",16,6,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC True Blue Infusion 6 (English).pdf"
"106","11441","电子电器","特惠","PTC True Blue Infusion 9",13,5.9,9.9,"是",16,9,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 9 (English).pdf"
"107","11446","电子电器","特惠","PTC True Blue Infusion 36",13,12,11.4,"是",16,36,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180806-145529-PTC True Blue Infusion 36 (English).pdf"
"108","11499","电子电器","特惠","PTC Lean Green Infusion 18",14,5.9,10.7,"是",100,18,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 18 (English).pdf"
"109","11507","电子电器","特惠","PTC Lean Green Infusion 3",12.8,10.7,10.7,"是",100,3,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 3 (English).pdf"
"110","11511","电子电器","特惠","PTC True Blue Infusion 12",13.9,5.9,10.6,"是",16,12,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 12 (English).pdf"
"111","11532","电子电器","特惠","PTC Lean Green Infusion 9",12.3,10.2,10.2,"是",100,9,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 9 (English).pdf"
"112","11536","电子电器","特惠","PTC Infusion Flex",12.7,11.6,11.1,"否",16,1,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Infusion Flex (English).pdf"
"113","11540","电子电器","特惠","PTC Lean Green Infusion 12",14,5.9,10.7,"是",100,12,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 12 (English).pdf"
"114","11542","电子电器","特惠","PTC True Blue Infusion 24",13.9,5.9,10.6,"是",16,24,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 24 (English).pdf"
"115","11548","电子电器","特惠","PTC Lean Green Infusion 6",12.4,10.4,10.4,"是",100,6,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Lean Green Infusion 6 (English).pdf"
"116","11553","电子电器","特惠","PTC True Blue Infusion 18",14,6,10.7,"是",16,18,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC True Blue Infusion 18 (English).pdf"
"117","11560","电子电器","特惠","PTC Lean Green Infusion 36",13.5,12.5,11.9,"是",100,36,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180806-145529-PTC Lean Green Infusion 36 (English).pdf"
"118","11563","电子电器","特惠","PTC True Blue Infusion 3",12.6,10,10.2,"是",16,3,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC True Blue Infusion 3 (English).pdf"
"119","11566","电子电器","特惠","PTC Lean Green Infusion 24",14,6,10.7,"是",100,24,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180808-143038-PTC Lean Green Infusion 24 (English).pdf"
"120","11618","电子电器","特惠","PTC Green Infusion Flex",13,11.9,11.4,"否",100,1,"老客户","否","散客","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201808/EFL-20180810-123231-PTC Green Infusion Flex (English).pdf"
"121","11621","电子电器","同城配","TXU Energy Simple Rate 12",16.8,14.9,13.9,"是",6,12,"老客户","否","散客","http://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXSIMRTND12AT&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"122","11633","电子电器","国际","Free Power Weekends 12",13.7,12.6,12,"否",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXT0606_ENG_20180807.PDF"
"123","11626","电子电器","同城配","TXU Energy Simple Rate 12",16.8,14.9,13.9,"是",6,12,"老客户","否","散客","http://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXSIMRTND12AT&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC"
"124","11725","电子电器","同城配","NEW PRODUCT",11,10.1,9.6,"是",6,6,"老客户","否","散客","https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=AEP_TCC&term=6&ZipCode=77414&promocode=tx2ss4qd"
"125","11826","电子电器","国际","Free Power Weekends 12",13.7,12.6,12,"是",14,12,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXT0606_SPA_20180807.PDF"
"126","11832","电子电器","国际","Free Power Weekends 24",14.9,13.7,13.2,"是",14,24,"老客户","否","散客","https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDARXXT0575_SPA_20180606.PDF"
